  Selection Sort
_________________
   100    41069
   200    171982
   300    391028
   400    703826
   500    1102388
   600    1588198
   700    2165724
   800    2830993
   900    3582699
  1000    4422768
  1100    5353667
  1200    6366732
  1300    7464653
  1400    8651112
  1500    9913754
  1600    11272727
  1700    12714569
  1800    14242266
  1900    15855907
  2000    17547955
  2100    19342435
  2200    21198259
  2300    23156280
  2400    25194935
  2500    27316248
  2600    29516625
  2700    31824777
  2800    34209814
  2900    36655161
  3000    39205072
  3100    41815251
  3200    44541422
  3300    47323838
  3400    50182986
  3500    53131874
  3600    56192103
  3700    59304251
  3800    62519749
  3900    65794647
  4000    69146924
  4100    72610567
  4200    76133904
  4300    79755640
  4400    83428178
  4500    87232698
  4600    91092033
  4700    95005798
  4800    99022037
  4900    103129037
  5000    107301883
  5100    111587321
  5200    115929733
  5300    120368802
  5400    124870100
  5500    129474441
  5600    134156501
  5700    138912149
  5800    143717668
  5900    148672234
  6000    153640068

  Insertion Sort
_________________
   100    43770
   200    124861
   300    233526
   400    275211
   500    361623
   600    480726
   700    537201
   800    632351
   900    731190
  1000    819353
  1100    889360
  1200    1017031
  1300    1097833
  1400    1161669
  1500    1350676
  1600    1357715
  1700    1480575
  1800    1489926
  1900    1414855
  2000    1765124
  2100    1780442
  2200    2009314
  2300    1998690
  2400    2048467
  2500    2095694
  2600    2296805
  2700    2095594
  2800    2155775
  2900    2614334
  3000    2492071
  3100    2748075
  3200    2914863
  3300    2907877
  3400    3106217
  3500    3044100
  3600    2840373
  3700    3123696
  3800    3278856
  3900    3242358
  4000    3542987
  4100    3344853
  4200    3328551
  4300    3449898
  4400    3980571
  4500    3501189
  4600    3760763
  4700    4135325
  4800    4216858
  4900    4201814
  5000    4110372
  5100    4025900
  5200    4870291
  5300    4793911
  5400    4733324
  5500    4611741
  5600    4813872
  5700    5006619
  5800    5271310
  5900    4742356
  6000    5096603

   Bubble Sort
_________________
   100    62505
   200    236411
   300    519128
   400    879530
   500    1357094
   600    1935013
   700    2597448
   800    3377454
   900    4261297
  1000    5241604
  1100    6296922
  1200    7495533
  1300    8771287
  1400    10139948
  1500    11645414
  1600    13197350
  1700    14865557
  1800    16633424
  1900    18443062
  2000    20520763
  2100    22572505
  2200    24791380
  2300    27035380
  2400    29367378
  2500    31824041
  2600    34479052
  2700    37041621
  2800    39835933
  2900    42807801
  3000    45694293
  3100    48832638
  3200    52058837
  3300    55295355
  3400    58713952
  3500    62137367
  3600    65625995
  3700    69329330
  3800    73125130
  3900    76981640
  4000    81028553
  4100    85019155
  4200    89121613
  4300    93457508
  4400    97948826
  4500    102147067
  4600    106888910
  4700    111643288
  4800    116446473
  4900    121282672
  5000    126168763
  5100    131231262
  5200    136601049
  5300    141837189
  5400    147186259
  5500    152607300
  5600    158211866
  5700    163920697
  5800    169741705
  5900    175382055
  6000    181458490
